"ID","TIME","CENSOR","ABUSED","BLACK","ABLACK"
1,15,0,0,0,0
2,29,1,1,0,0
3,17,0,0,0,0
4,29,1,1,0,0
5,23,1,1,0,0
6,25,1,1,0,0
7,32,1,0,0,0
8,31,1,1,0,0
9,32,1,1,0,0
10,29,1,1,1,1
11,23,1,1,0,0
12,18,0,1,0,0
13,33,1,0,0,0
14,32,1,1,0,0
16,28,1,1,0,0
17,27,1,0,1,0
18,26,1,1,1,1
19,24,1,1,0,0
20,27,1,1,1,1
21,15,0,0,0,0
22,30,1,1,0,0
23,29,1,0,0,0
24,29,1,1,0,0
25,29,1,0,0,0
26,16,0,1,0,0
27,29,1,0,0,0
28,29,1,1,0,0
29,29,1,0,0,0
30,29,1,1,0,0
32,25,1,1,0,0
33,30,1,0,0,0
34,30,1,1,0,0
35,14,0,1,0,0
36,16,0,0,0,0
37,28,1,1,0,0
38,29,1,0,0,0
39,29,1,1,0,0
40,27,1,0,0,0
42,29,1,1,1,1
44,30,1,1,0,0
45,30,1,0,0,0
46,29,1,1,0,0
47,30,1,1,0,0
48,28,1,1,0,0
50,27,1,0,0,0
51,27,1,1,0,0
52,29,1,0,0,0
53,13,0,1,0,0
54,18,0,1,0,0
55,29,1,0,1,0
56,17,0,1,1,1
57,28,1,0,1,0
58,15,0,1,1,1
59,26,1,0,0,0
60,27,1,1,0,0
61,16,0,1,1,1
62,23,1,1,0,0
63,28,1,0,0,0
64,28,1,1,0,0
66,30,1,1,0,0
67,27,1,0,0,0
68,27,1,1,0,0
69,30,1,0,0,0
70,12,0,1,0,0
71,29,1,0,0,0
72,16,0,1,0,0
73,24,1,0,0,0
74,25,1,1,0,0
75,24,1,0,0,0
76,16,0,1,0,0
77,29,1,1,0,0
78,24,1,0,0,0
79,25,1,1,0,0
80,27,1,1,1,1
82,25,1,1,0,0
84,17,1,1,0,0
85,26,1,0,1,0
86,26,1,1,1,1
87,22,1,0,1,0
88,22,1,1,1,1
89,32,1,1,0,0
90,14,0,1,0,0
91,16,0,0,0,0
92,26,1,1,0,0
93,31,1,0,1,0
94,31,1,1,1,1
95,29,1,0,0,0
96,29,1,1,0,0
97,30,1,0,0,0
99,30,1,0,1,0
100,29,1,1,1,1
101,29,1,0,0,0
102,29,1,1,0,0
103,30,1,0,1,0
104,29,1,1,1,1
105,24,1,0,0,0
106,24,1,1,0,0
107,31,1,0,0,0
108,31,1,1,0,0
109,32,1,1,0,0
110,32,1,0,0,0
111,32,1,1,0,0
112,30,1,1,0,0
113,31,1,0,0,0
115,29,1,1,0,0
116,27,1,0,1,0
118,16,0,1,0,0
119,16,0,1,1,1
120,25,1,1,0,0
122,31,1,0,0,0
123,31,1,1,0,0
124,31,1,1,0,0
125,28,1,0,1,0
126,28,1,1,1,1
127,27,1,0,0,0
128,26,1,1,0,0
129,31,1,1,0,0
130,25,1,0,0,0
131,25,1,1,0,0
133,28,1,1,0,0
134,28,1,0,0,0
135,28,1,1,0,0
136,15,0,0,0,0
137,30,1,1,0,0
138,30,1,0,0,0
139,30,1,1,0,0
140,27,1,0,0,0
141,27,1,1,0,0
142,31,1,0,1,0
143,12,0,1,1,1
144,24,1,0,1,0
145,24,1,1,1,1
146,25,1,1,1,1
147,17,0,0,1,0
149,25,1,0,0,0
150,25,1,1,0,0
151,28,1,0,1,0
152,27,1,1,1,1
153,26,1,0,0,0
154,28,1,1,0,0
155,30,1,0,0,0
156,14,0,1,0,0
157,28,1,0,0,0
158,28,1,1,0,0
159,29,1,0,0,0
160,28,1,1,0,0
161,15,0,0,1,0
162,31,1,1,1,1
163,29,1,1,0,0
165,28,1,1,0,0
166,29,1,0,0,0
167,29,1,1,0,0
168,14,0,1,0,0
169,26,1,0,0,0
170,25,1,1,0,0
171,27,1,0,0,0
172,15,0,1,0,0
173,27,1,1,0,0
174,26,1,0,0,0
175,27,1,1,0,0
177,24,1,1,1,1
178,25,1,1,0,0
179,26,1,1,0,0
180,28,1,1,0,0
184,14,0,0,1,0
185,25,1,1,1,1
186,15,0,0,1,0
187,13,0,1,1,1
188,17,0,1,0,0
189,27,1,0,0,0
190,27,1,1,0,0
191,14,0,0,0,0
192,25,1,1,0,0
193,28,1,0,0,0
194,15,0,1,0,0
195,16,0,0,0,0
196,22,1,1,0,0
197,24,1,1,0,0
198,18,1,0,0,0
201,28,1,0,0,0
202,28,1,1,0,0
203,21,1,0,0,0
204,12,0,1,0,0
205,18,1,0,0,0
206,18,1,1,0,0
207,17,1,0,0,0
208,17,1,1,0,0
209,26,1,1,0,0
210,30,1,0,1,0
211,29,1,1,1,1
212,32,1,0,1,0
213,31,1,1,1,1
214,25,1,0,0,0
215,12,0,1,0,0
217,24,1,1,0,0
218,28,1,0,0,0
219,13,0,1,0,0
220,26,1,0,0,0
221,26,1,1,0,0
222,24,1,0,0,0
223,17,0,1,0,0
224,30,1,0,0,0
225,14,0,1,0,0
226,29,1,0,0,0
227,29,1,1,0,0
228,28,1,0,0,0
229,28,1,1,0,0
230,26,1,0,0,0
231,26,1,1,0,0
233,16,0,1,0,0
234,17,0,0,0,0
235,16,0,1,0,0
236,22,1,0,0,0
237,22,1,1,0,0
238,13,0,1,1,1
239,13,0,1,1,1
240,17,0,1,1,1
241,26,1,0,1,0
242,26,1,1,1,1
243,24,1,0,1,0
244,24,1,1,1,1
245,30,1,0,1,0
246,11,0,1,1,1
247,24,1,0,1,0
249,33,1,0,0,0
250,33,1,1,0,0
251,31,1,1,0,0
252,30,1,0,0,0
253,30,1,1,0,0
254,30,1,0,0,0
255,15,0,1,0,0
256,28,1,0,0,0
257,29,1,1,0,0
258,27,1,0,0,0
259,12,0,1,0,0
260,31,1,0,1,0
261,32,1,1,1,1
262,30,1,0,1,0
263,14,0,1,1,1
265,10,0,1,1,1
266,31,1,0,0,0
267,31,1,1,0,0
268,26,1,0,0,0
269,26,1,1,0,0
270,32,1,0,0,0
271,33,1,1,0,0
272,25,1,1,0,0
273,28,1,0,0,0
274,29,1,1,0,0
275,26,1,1,0,0
276,25,1,1,0,0
277,27,1,0,1,0
278,27,1,1,1,1
279,32,1,1,0,0
281,33,1,1,1,1
282,32,1,1,1,1
283,14,0,0,1,0
284,14,0,1,1,1
285,33,1,0,0,0
286,32,1,1,0,0
287,29,1,0,0,0
288,29,1,1,0,0
289,28,1,0,1,0
290,29,1,1,1,1
291,28,1,0,1,0
292,28,1,1,1,1
293,19,1,0,0,0
294,28,1,1,0,0
295,27,1,0,0,0
297,26,1,1,0,0
298,25,1,1,0,0
299,31,1,0,0,0
300,17,0,1,0,0
301,25,1,0,0,0
302,15,0,1,0,0
303,23,1,0,0,0
304,23,1,1,0,0
305,31,1,1,0,0
306,27,1,0,0,0
307,27,1,1,0,0
308,13,0,0,0,0
309,25,1,1,0,0
310,30,1,0,0,0
311,12,0,1,0,0
313,12,0,1,0,0
314,31,1,0,1,0
315,31,1,1,1,1
316,23,1,0,1,0
317,23,1,1,1,1
318,31,1,0,1,0
319,32,1,1,1,1
320,31,1,1,0,0
321,30,1,1,0,0
322,30,1,0,0,0
323,30,1,1,0,0
324,28,1,0,0,0
325,28,1,1,0,0
326,27,1,0,0,0
327,27,1,1,0,0
329,24,1,1,0,0
330,22,1,0,0,0
331,22,1,1,0,0
332,33,1,0,1,0
333,33,1,1,1,1
334,32,1,1,0,0
335,32,1,1,1,1
336,31,1,0,1,0
337,31,1,1,1,1
338,16,0,1,1,1
339,27,1,1,1,1
340,25,1,1,1,1
341,14,0,0,1,0
342,26,1,1,1,1
343,23,1,0,1,0
345,23,1,0,1,0
346,23,1,1,1,1
347,27,1,1,0,0
348,26,1,0,0,0
349,15,0,1,0,0
350,25,1,0,0,0
351,25,1,1,0,0
352,23,1,0,0,0
353,23,1,1,0,0
354,30,1,0,0,0
355,29,1,1,0,0
356,28,1,0,0,0
357,28,1,1,0,0
358,25,1,1,0,0
359,23,1,1,0,0
361,32,1,1,1,1
362,28,1,0,1,0
363,28,1,1,1,1
364,26,1,0,1,0
365,26,1,1,1,1
366,15,0,0,0,0
367,23,1,1,0,0
368,22,1,0,0,0
369,22,1,1,0,0
370,25,1,0,0,0
371,25,1,1,0,0
372,24,1,0,0,0
373,24,1,1,0,0
374,23,1,0,0,0
375,23,1,1,0,0
377,21,1,1,0,0
379,30,1,1,0,0
380,12,0,0,1,0
381,29,1,1,0,0
382,9,0,0,1,0
383,27,1,1,0,0
384,34,1,0,1,0
385,32,1,1,1,1
386,13,0,0,1,0
387,31,1,1,1,1
388,28,1,0,1,0
389,28,1,1,1,1
390,21,1,0,1,0
391,16,0,1,1,1
392,30,1,0,0,0
394,28,1,0,0,0
395,16,0,1,0,0
396,31,1,0,0,0
397,30,1,1,0,0
398,13,0,0,1,0
399,28,1,1,0,0
400,28,1,0,1,0
401,27,1,1,0,0
402,25,1,0,0,0
403,25,1,1,0,0
404,10,0,0,0,0
405,15,0,1,0,0
406,23,1,0,0,0
407,23,1,1,0,0
408,25,1,0,0,0
411,31,1,0,0,0
412,12,0,1,0,0
413,30,1,0,0,0
414,30,1,1,0,0
415,25,1,0,0,0
416,25,1,1,0,0
417,24,1,1,0,0
418,23,1,1,0,0
419,20,1,0,0,0
420,20,1,1,0,0
421,32,1,1,0,0
422,29,1,1,0,0
423,26,1,0,0,0
424,16,0,1,0,0
425,15,0,0,0,0
427,27,1,0,0,0
428,27,1,1,0,0
429,33,1,0,0,0
430,32,1,1,0,0
431,31,1,0,0,0
432,31,1,1,0,0
433,18,0,0,0,0
434,29,1,1,0,0
435,16,0,0,0,0
436,29,1,1,0,0
437,25,1,0,0,0
438,25,1,1,0,0
439,23,1,0,0,0
440,23,1,1,0,0
441,29,1,0,0,0
443,28,1,0,0,0
444,28,1,1,0,0
445,30,1,0,0,0
446,30,1,1,0,0
447,28,1,0,0,0
448,28,1,1,0,0
449,18,0,0,0,0
450,27,1,1,0,0
451,25,1,1,0,0
452,17,0,0,0,0
453,22,1,1,0,0
454,15,0,0,0,0
455,21,1,1,0,0
456,21,1,0,1,0
457,12,0,1,1,1
459,31,1,1,0,0
460,15,0,0,0,0
461,30,1,1,0,0
462,28,1,0,0,0
463,28,1,1,0,0
464,31,1,1,0,0
465,30,1,1,0,0
466,29,1,1,0,0
467,27,1,1,0,0
468,26,1,0,0,0
469,26,1,1,0,0
470,32,1,0,1,0
471,32,1,1,1,1
472,18,0,1,1,1
473,27,1,0,1,0
475,25,1,0,1,0
476,14,0,1,1,1
477,23,1,0,1,0
478,15,0,1,1,1
479,22,1,0,1,0
480,22,1,1,1,1
481,25,1,0,0,0
482,16,0,1,0,0
483,24,1,0,0,0
484,15,0,1,0,0
485,23,1,0,0,0
486,23,1,1,0,0
487,13,0,0,0,0
488,12,0,1,0,0
489,30,1,0,1,0
491,29,1,0,1,0
492,29,1,1,1,1
493,29,1,0,1,0
494,28,1,1,1,1
