"id","period","event","d7","d8","d9","d10","d11","d12","pt","pas"
1,7,0,1,0,0,0,0,0,0,1.978867
1,8,0,0,1,0,0,0,0,0,1.978867
1,9,1,0,0,1,0,0,0,0,1.978867
2,7,0,1,0,0,0,0,0,1,-0.5454916
2,8,0,0,1,0,0,0,0,1,-0.5454916
2,9,0,0,0,1,0,0,0,1,-0.5454916
2,10,0,0,0,0,1,0,0,1,-0.5454916
2,11,0,0,0,0,0,1,0,1,-0.5454916
2,12,0,0,0,0,0,0,1,1,-0.5454916
3,7,0,1,0,0,0,0,0,0,-1.40498
3,8,0,0,1,0,0,0,0,0,-1.40498
3,9,0,0,0,1,0,0,0,0,-1.40498
3,10,0,0,0,0,1,0,0,0,-1.40498
3,11,0,0,0,0,0,1,0,0,-1.40498
3,12,0,0,0,0,0,0,1,0,-1.40498
5,7,0,1,0,0,0,0,0,1,0.9741806
5,8,0,0,1,0,0,0,0,1,0.9741806
5,9,0,0,0,1,0,0,0,1,0.9741806
5,10,0,0,0,0,1,0,0,1,0.9741806
5,11,0,0,0,0,0,1,0,1,0.9741806
5,12,1,0,0,0,0,0,1,1,0.9741806
6,7,0,1,0,0,0,0,0,0,-0.6356313
6,8,0,0,1,0,0,0,0,0,-0.6356313
6,9,0,0,0,1,0,0,0,0,-0.6356313
6,10,0,0,0,0,1,0,0,0,-0.6356313
6,11,1,0,0,0,0,1,0,0,-0.6356313
7,7,0,1,0,0,0,0,0,1,-0.2428857
7,8,0,0,1,0,0,0,0,1,-0.2428857
7,9,1,0,0,1,0,0,0,1,-0.2428857
9,7,0,1,0,0,0,0,0,0,-0.8685001
9,8,0,0,1,0,0,0,0,0,-0.8685001
9,9,0,0,0,1,0,0,0,0,-0.8685001
9,10,0,0,0,0,1,0,0,0,-0.8685001
9,11,0,0,0,0,0,1,0,0,-0.8685001
9,12,0,0,0,0,0,0,1,0,-0.8685001
10,7,0,1,0,0,0,0,0,0,0.4535947
10,8,0,0,1,0,0,0,0,0,0.4535947
10,9,0,0,0,1,0,0,0,0,0.4535947
10,10,0,0,0,0,1,0,0,0,0.4535947
10,11,1,0,0,0,0,1,0,0,0.4535947
11,7,0,1,0,0,0,0,0,1,0.8017636
