"id","game","nmoves","read"
1,1,4,1.4
1,2,7,1.4
1,3,8,1.4
1,4,3,1.4
1,5,3,1.4
1,6,3,1.4
1,7,7,1.4
1,8,6,1.4
1,9,3,1.4
1,10,7,1.4
1,11,5,1.4
1,12,3,1.4
1,13,8,1.4
1,14,3,1.4
1,15,3,1.4
1,16,3,1.4
1,17,3,1.4
1,18,3,1.4
1,19,6,1.4
1,20,3,1.4
1,21,3,1.4
1,22,3,1.4
1,23,3,1.4
1,24,3,1.4
1,25,3,1.4
1,26,5,1.4
1,27,3,1.4
2,1,3,1.4
2,2,6,1.4
2,3,3,1.4
2,4,3,1.4
2,5,3,1.4
2,6,3,1.4
2,7,3,1.4
2,8,6,1.4
2,9,6,1.4
2,10,3,1.4
2,11,3,1.4
2,12,6,1.4
2,13,3,1.4
2,14,9,1.4
2,15,3,1.4
2,16,6,1.4
2,17,5,1.4
2,18,3,1.4
2,19,9,1.4
2,20,3,1.4
2,21,3,1.4
2,22,3,1.4
2,23,20,1.4
2,24,20,1.4
2,25,20,1.4
2,26,15,1.4
2,27,6,1.4
3,1,6,1.5
3,2,3,1.5
3,3,2,1.5
3,4,3,1.5
3,5,9,1.5
3,6,4,1.5
3,7,3,1.5
3,8,8,1.5
3,9,3,1.5
3,10,3,1.5
3,11,3,1.5
3,12,3,1.5
3,13,3,1.5
3,14,3,1.5
3,15,3,1.5
3,16,3,1.5
3,17,3,1.5
3,18,3,1.5
3,19,10,1.5
3,20,7,1.5
3,21,3,1.5
3,22,3,1.5
3,23,3,1.5
3,24,4,1.5
3,25,5,1.5
3,26,3,1.5
3,27,7,1.5
4,1,6,1.6
4,2,6,1.6
4,3,8,1.6
4,4,9,1.6
4,5,7,1.6
4,6,3,1.6
4,7,3,1.6
4,8,4,1.6
4,9,3,1.6
4,10,10,1.6
4,11,7,1.6
4,12,8,1.6
4,13,8,1.6
4,14,9,1.6
4,15,20,1.6
4,16,9,1.6
4,17,7,1.6
4,18,20,1.6
4,19,20,1.6
4,20,20,1.6
4,21,7,1.6
4,22,16,1.6
4,23,20,1.6
4,24,7,1.6
4,25,15,1.6
4,26,17,1.6
4,27,20,1.6
5,1,2,1.8
5,2,5,1.8
5,3,6,1.8
5,4,4,1.8
5,5,3,1.8
5,6,3,1.8
5,7,1,1.8
5,8,1,1.8
5,9,3,1.8
5,10,9,1.8
5,11,8,1.8
5,12,7,1.8
5,13,7,1.8
5,14,6,1.8
5,15,4,1.8
5,16,3,1.8
5,17,10,1.8
5,18,6,1.8
5,19,11,1.8
5,20,7,1.8
5,21,6,1.8
5,22,6,1.8
5,23,7,1.8
5,24,9,1.8
5,25,11,1.8
5,26,20,1.8
5,27,20,1.8
6,1,3,1.8
6,2,2,1.8
6,3,3,1.8
6,4,4,1.8
6,5,4,1.8
6,6,3,1.8
6,7,3,1.8
6,8,3,1.8
6,9,3,1.8
6,10,3,1.8
6,11,3,1.8
6,12,3,1.8
6,13,3,1.8
6,14,2,1.8
6,15,3,1.8
6,16,5,1.8
6,17,3,1.8
6,18,3,1.8
6,19,9,1.8
6,20,5,1.8
6,21,4,1.8
6,22,2,1.8
6,23,2,1.8
6,24,4,1.8
6,25,3,1.8
6,26,4,1.8
6,27,4,1.8
7,1,3,1.95625
7,3,7,1.95625
7,5,8,1.95625
7,7,9,1.95625
7,9,8,1.95625
7,11,6,1.95625
7,13,6,1.95625
7,15,7,1.95625
7,17,14,1.95625
7,19,10,1.95625
7,21,8,1.95625
7,23,8,1.95625
7,25,8,1.95625
7,27,15,1.95625
8,2,5,1.6
8,3,6,1.6
8,4,4,1.6
8,5,5,1.6
8,6,2,1.6
8,7,5,1.6
8,8,6,1.6
8,9,6,1.6
8,10,5,1.6
8,11,6,1.6
8,12,9,1.6
8,13,9,1.6
8,14,9,1.6
8,15,10,1.6
8,16,20,1.6
8,17,15,1.6
8,18,16,1.6
8,19,20,1.6
8,20,20,1.6
8,21,12,1.6
8,22,20,1.6
8,23,20,1.6
8,24,14,1.6
8,25,20,1.6
8,26,20,1.6
8,27,20,1.6
9,1,3,4
9,2,9,4
9,3,4,4
9,4,5,4
9,5,6,4
