"id","weeks","censor"
1,0.14,0
2,0.42,1
3,1,0
4,1.28,1
5,1.28,1
6,1.71,1
7,1.85,1
8,1.85,1
9,1.85,1
10,2,1
11,2.14,1
12,2.14,1
13,2.14,1
14,2.28,1
15,2.28,1
16,2.28,1
17,3,1
18,3,1
19,3.14,1
20,3.14,1
21,3.14,1
22,3.14,0
23,3.28,0
24,3.85,1
25,4,1
26,4,1
27,4.14,1
28,4.14,1
29,4.14,1
30,4.14,1
31,4.14,1
32,4.14,1
33,4.14,1
34,4.14,1
35,4.14,1
36,4.14,1
37,4.14,1
38,4.14,1
39,4.14,1
40,4.14,1
41,4.14,1
42,4.14,1
43,4.14,1
44,4.14,1
45,4.14,1
46,4.28,1
47,4.28,0
48,4.28,0
49,4.28,1
50,4.28,1
51,4.28,1
52,4.28,1
53,4.28,1
54,4.28,1
55,4.28,1
56,4.42,0
57,4.57,0
58,4.57,0
59,4.57,0
60,5,1
61,5.14,1
62,5.14,0
63,5.28,1
64,5.28,1
65,5.28,1
66,5.28,1
67,5.28,0
68,5.28,1
69,5.28,1
70,5.28,1
71,5.28,1
72,5.28,1
73,5.28,1
74,5.28,1
75,5.42,1
76,5.71,1
77,5.71,1
78,5.85,0
79,5.85,1
80,6,1
81,6.14,1
82,6.28,1
83,6.28,1
84,6.28,1
85,6.28,0
86,6.28,1
87,6.28,1
88,6.28,1
89,6.28,1
90,6.28,1
91,6.28,0
92,6.28,1
93,6.28,1
94,6.28,1
95,6.28,1
96,6.28,1
97,6.28,1
98,6.42,1
99,6.42,1
100,6.57,1
101,6.57,0
102,6.57,0
103,6.57,0
104,6.57,1
105,6.57,1
106,6.71,1
107,6.85,1
108,7,1
109,7,0
110,7,0
111,7,1
112,7,1
113,7,1
114,7.14,1
115,7.28,1
116,7.28,1
117,7.28,1
118,7.28,1
119,7.28,1
120,7.28,1
121,7.28,1
122,7.28,1
123,7.28,1
124,7.57,1
125,8,0
126,8,1
127,8.14,1
128,8.14,1
129,8.14,1
130,8.28,1
131,8.28,1
132,8.28,1
133,8.28,1
134,8.28,1
135,8.28,1
136,8.28,1
137,8.28,1
138,8.28,1
139,8.28,1
140,8.28,0
141,8.28,1
142,8.28,1
143,8.28,1
144,8.28,1
145,8.28,1
146,8.28,1
147,8.28,1
148,8.28,1
149,8.28,1
150,8.28,1
151,8.28,1
152,8.28,1
153,8.28,1
154,8.28,1
155,8.28,1
156,8.42,1
157,8.42,1
158,8.42,1
159,8.42,1
160,8.57,1
161,8.57,1
162,8.57,1
163,8.57,0
164,8.57,0
165,8.57,1
166,8.57,1
167,8.57,1
168,8.57,1
169,8.57,1
170,8.57,1
171,8.57,1
172,8.57,1
173,8.57,1
174,8.57,1
175,8.57,1
176,8.57,1
177,8.57,0
178,8.57,1
179,8.57,1
180,8.57,1
181,8.57,1
182,8.57,1
183,8.57,1
184,8.57,1
185,8.57,1
186,8.57,1
187,8.71,0
188,8.71,1
189,8.85,1
190,9,1
191,9.14,0
192,9.14,0
193,9.28,1
194,9.28,1
195,9.28,1
196,9.28,1
197,9.28,1
198,9.28,1
199,9.28,0
200,9.28,1
201,9.28,0
202,9.57,0
203,9.71,1
204,10,1
205,10,1
206,10,1
207,10.14,1
208,10.14,0
209,10.14,1
210,10.14,1
211,10.28,1
212,10.28,1
213,10.28,1
214,10.28,1
215,10.28,1
216,10.28,1
217,10.28,1
218,10.28,1
219,10.28,1
220,10.28,1
221,10.28,1
222,10.28,1
223,10.28,1
224,10.28,1
225,10.28,1
226,10.28,1
227,10.42,0
228,10.42,1
229,10.57,1
230,10.85,0
231,10.85,0
232,11,0
233,11,1
234,11,0
235,11,1
236,11,1
237,11,1
238,11,1
239,11,1
240,11,1
241,11,1
242,11,1
243,11,1
244,11.14,1
245,11.14,1
246,11.14,0
247,11.28,1
248,11.28,1
249,11.28,1
250,11.28,1
251,11.28,1
252,11.28,1
253,11.28,0
254,11.28,1
255,11.28,1
256,11.28,1
257,11.28,1
258,11.28,1
259,11.28,1
260,11.28,1
261,11.42,0
262,11.57,0
263,11.57,0
264,11.71,1
265,11.71,1
266,11.85,1
267,11.85,1
268,11.85,1
269,11.85,1
270,12,1
271,12,1
272,12.14,1
273,12.28,0
274,12.28,1
275,12.28,1
276,12.28,1
277,12.28,1
278,12.28,1
279,12.28,0
280,12.28,1
281,12.28,1
282,12.28,1
283,12.28,1
284,12.28,1
285,12.28,1
286,12.28,1
287,12.28,1
288,12.28,1
289,12.28,1
290,12.71,1
291,12.85,1
292,12.85,0
293,12.85,0
294,12.85,0
295,12.85,0
296,12.85,1
297,13,1
298,13,1
299,13,1
300,13,1
301,13,1
302,13,1
303,13,1
304,13,1
305,13,1
306,13,1
307,13,1
308,13,1
309,13,1
310,13,1
311,13,1
312,13,1
313,13,1
314,13,1
315,13,1
316,13,1
317,13,1
318,13,1
319,13,1
320,13,1
321,13,1
322,13,1
323,13,1
324,13,1
325,13,1
326,13,0
327,13,1
328,13,1
329,13,1
330,13,1
331,13,1
332,13,1
333,13,1
334,13,1
335,13,1
336,13,1
337,13,1
338,13,1
339,13,1
340,13,1
341,13,1
342,13,1
343,13,1
344,13,1
345,13,1
346,13,1
347,13,1
348,13,1
349,13,1
350,13,1
351,13.14,1
352,13.14,1
353,13.14,0
354,13.14,1
355,13.28,1
356,13.28,1
357,13.28,0
358,13.28,1
359,13.28,1
360,13.28,1
361,13.28,1
362,13.28,1
363,13.42,0
364,13.42,0
365,13.57,0
366,13.71,1
367,13.71,0
368,14,1
369,14,1
370,14.28,1
371,14.28,1
372,14.28,0
373,14.28,1
374,14.28,1
375,14.28,1
376,14.28,1
377,14.42,0
378,14.71,1
379,15,1
380,15,1
381,15,0
382,15.28,1
383,15.28,1
384,15.28,1
385,15.28,1
386,15.28,1
387,15.28,0
388,15.42,0
389,15.57,0
390,15.71,1
391,16,1
392,16,1
393,16.28,1
394,16.28,1
395,16.28,1
396,16.57,0
397,16.71,0
398,16.85,1
399,16.85,1
400,17,1
401,17,1
402,17.14,1
403,17.14,1
404,17.14,0
405,17.28,1
406,17.28,1
407,17.28,1
408,17.28,1
409,17.28,1
410,17.28,1
411,17.28,0
412,17.28,1
413,17.28,1
414,17.28,1
415,17.28,1
416,17.28,1
417,17.28,1
418,17.28,0
419,17.28,1
420,17.28,1
421,17.42,0
422,17.42,0
423,17.57,0
424,17.71,1
425,17.85,1
426,18.14,0
427,18.85,1
428,19,0
429,19,0
430,19.14,0
431,19.28,1
432,19.28,1
433,19.28,1
434,19.28,1
435,19.28,1
436,19.28,1
437,19.28,1
438,19.42,0
439,19.57,0
440,19.71,1
441,19.71,1
442,19.71,1
443,19.85,1
444,20,1
445,20,0
446,20.28,0
447,20.28,1
448,20.28,1
449,20.28,1
450,20.28,1
451,20.28,1
452,20.42,1
453,20.57,0
454,20.57,0
455,20.57,0
456,20.71,1
457,20.85,1
458,21,1
459,21.14,1
460,21.28,1
461,21.28,1
462,21.28,1
463,21.28,1
464,21.28,1
465,21.28,1
466,21.28,1
467,21.28,1
468,21.28,1
469,21.42,0
470,21.57,0
471,21.71,1
472,21.71,1
473,21.71,0
474,21.71,1
475,21.71,1
476,21.71,1
477,21.71,1
478,21.71,1
479,21.71,1
480,21.71,1
481,21.71,1
482,21.71,1
483,21.71,1
484,21.71,1
485,21.71,1
486,21.85,1
487,22,1
488,22.14,1
489,22.28,1
490,22.28,1
491,23,1
