"ID","SECONDS","CENSOR"
1,2.88,0
2,4.63,1
3,2.36,1
4,2.68,0
5,2.5,0
6,4.3,1
7,1.86,0
8,4.01,1
9,1.41,0
10,9.59,0
11,4.44,0
12,3.14,0
13,2.83,0
14,12.29,0
15,4.96,0
16,5.88,1
17,2.12,0
18,6.03,0
19,4.1,0
20,6.3,0
21,2.78,1
22,2.53,0
23,2.54,0
24,3.24,0
25,3.22,0
26,7.2,0
27,2.62,0
28,3.46,1
29,4.52,0
31,2.19,0
32,3.05,1
33,2.92,0
34,4.51,0
35,3.21,0
37,17.15,1
38,5.73,0
39,5.39,0
40,1.51,0
41,3.17,0
42,3.78,0
43,6.21,1
44,2.89,0
45,2.56,0
46,4.18,0
47,3.56,0
48,4.71,1
49,2.76,1
50,1.67,0
51,13.18,0
52,3.58,0
53,3.57,0
54,1.41,1
55,6.6,1
56,2.48,0
57,5.12,1
58,2.98,0
60,1.68,0
