"id","tenure","dead","retire","leave","age","year"
1,1,0,1,1,50,1789
2,6,0,1,1,57,1789
3,6,0,1,1,44,1789
4,9,1,0,1,47,1789
5,21,1,0,1,57,1789
6,9,1,0,1,38,1790
7,1,0,1,1,59,1791
8,13,1,0,1,47,1793
9,4,0,1,1,51,1796
10,15,1,0,1,55,1796
11,31,1,0,1,36,1798
12,4,0,1,1,44,1799
13,34,1,0,1,45,1801
14,30,1,0,1,32,1804
15,16,1,0,1,49,1806
16,19,1,0,1,42,1807
17,23,0,1,1,58,1811
18,34,1,0,1,32,1811
19,20,1,0,1,55,1823
20,2,1,0,1,49,1826
21,32,1,0,1,44,1829
22,14,1,0,1,50,1830
23,32,1,0,1,45,1835
24,5,1,0,1,52,1836
25,28,1,0,1,59,1836
26,15,1,0,1,57,1837
27,28,1,0,1,51,1837
28,19,1,0,1,57,1841
29,27,0,1,1,52,1845
30,5,1,0,1,55,1846
31,23,0,1,1,52,1846
32,5,0,1,1,41,1851
33,8,0,1,1,41,1853
34,23,1,0,1,54,1858
35,14,0,1,1,47,1862
36,19,0,1,1,57,1862
37,28,1,0,1,46,1862
38,34,0,1,1,46,1863
39,8,1,0,1,56,1864
40,10,0,1,1,61,1870
41,21,1,0,1,56,1870
42,9,0,1,1,62,1872
43,14,1,0,1,57,1874
44,34,1,0,1,44,1877
45,6,1,0,1,56,1880
46,7,1,0,1,56,1881
47,20,0,1,1,53,1881
48,11,1,0,1,62,1882
49,5,1,0,1,62,1888
50,22,1,0,1,55,1888
51,20,1,0,1,52,1889
52,15,0,1,1,54,1890
53,10,0,1,1,60,1892
54,2,1,0,1,60,1893
55,27,1,0,1,48,1894
56,13,1,0,1,57,1895
57,26,0,1,1,54,1898
58,29,0,1,1,61,1902
59,19,0,1,1,53,1903
60,3,0,1,1,52,1906
61,4,1,0,1,65,1909
62,5,1,0,1,53,1910
63,6,0,1,1,48,1910
64,26,0,1,1,51,1910
65,10,0,1,1,54,1912
66,26,0,1,1,52,1914
67,6,0,1,1,59,1916
68,22,0,1,1,59,1916
69,8,0,1,1,63,1921
70,15,0,1,1,60,1922
71,17,1,0,1,56,1922
72,7,1,0,1,57,1923
73,21,1,0,1,52,1925
74,11,0,1,1,67,1930
75,15,0,1,1,55,1930
76,6,1,0,1,61,1932
77,34,0,1,1,51,1937
78,19,0,1,1,53,1938
79,23,0,1,1,56,1939
80,36,0,1,1,40,1939
81,9,1,0,1,49,1940
82,1,0,1,1,62,1941
83,13,1,0,1,49,1941
84,6,1,0,1,48,1943
85,13,0,1,1,57,1945
86,7,1,0,1,56,1946
87,7,0,1,1,58,1949
88,18,0,1,1,49,1949
89,15,0,1,1,62,1954
90,16,0,1,1,55,1955
91,5,0,1,1,56,1957
92,34,0,1,1,50,1957
93,22,0,1,1,43,1959
94,31,0,1,1,44,1959
95,31,0,1,1,54,1962
96,4,0,1,1,55,1965
97,25,0,1,1,59,1967
98,17,0,1,1,61,1969
99,24,0,1,1,61,1970
100,16,0,1,1,64,1972
101,27,0,0,0,47,1972
102,24,0,0,0,55,1975
103,18,0,0,0,51,1981
104,13,0,0,0,50,1986
105,11,0,0,0,51,1988
106,9,0,0,0,50,1990
107,8,0,0,0,43,1991
108,6,0,0,0,60,1993
109,5,0,0,0,56,1994
