"ID","LASTPD","FEMALE","CENSOR"
201303,2,1,0
201304,3,1,0
201305,2,1,1
201311,5,0,1
201316,5,0,0
201317,3,1,1
201320,1,0,1
201321,5,1,0
201322,2,1,0
201324,3,1,1
201327,3,0,0
201328,3,0,1
201334,2,1,1
201339,2,1,0
201341,5,1,0
201344,1,0,1
201346,3,0,0
201347,2,1,0
201349,2,1,1
201350,3,0,1
201351,3,0,0
201352,1,1,0
201353,3,1,1
201356,2,1,0
201359,2,0,0
201360,3,0,0
201361,1,1,1
201364,3,1,1
201367,2,0,0
201379,2,1,0
203349,1,0,1
203350,3,1,1
203359,2,1,0
204301,1,0,0
204302,2,1,0
204304,5,0,1
204305,2,0,1
204307,3,1,1
204308,5,0,1
204310,3,1,0
204311,1,1,0
204312,3,0,1
204313,1,0,0
204314,2,0,0
204316,2,0,0
204318,1,1,0
204319,2,1,1
204320,3,1,1
204322,2,0,0
204323,3,1,1
204324,4,0,0
204325,3,0,1
204327,2,1,0
204330,1,1,1
204331,4,1,0
204332,1,0,0
204333,4,1,0
204336,5,0,1
204337,4,0,0
204339,2,0,0
204342,2,1,0
204343,3,1,1
204345,3,0,1
204347,1,0,1
204349,5,0,0
204350,5,1,1
204352,2,1,0
204353,3,0,1
204354,4,1,1
204356,3,1,0
204358,1,0,0
204360,2,1,0
204361,3,1,1
204362,5,1,0
204364,4,0,0
204367,3,1,0
204368,2,0,0
204369,5,0,1
204370,3,1,0
204371,3,1,0
204373,3,1,1
204374,5,0,1
204375,3,0,0
204376,3,1,1
204377,2,1,0
204378,1,0,1
205305,1,1,1
205307,2,0,1
205309,2,0,0
205312,3,0,1
205315,3,0,1
205317,3,1,0
205319,2,0,0
205320,2,1,0
205321,2,1,0
205322,1,1,1
205324,2,0,0
205325,3,1,0
205327,1,0,1
205328,1,0,1
205331,3,0,0
205333,1,0,1
205334,4,1,0
205336,1,1,1
205338,3,0,1
205340,1,0,1
205341,2,1,0
205342,5,1,0
205345,4,0,0
205346,3,1,1
205347,2,0,1
205356,1,0,1
205359,4,1,0
205361,1,1,0
205362,3,0,1
205363,2,0,1
205364,4,1,0
205366,3,0,0
205367,1,0,1
205369,4,1,0
206301,1,1,1
206302,2,0,0
206303,2,1,0
206304,3,0,1
206305,1,0,1
206306,1,0,1
206307,2,0,1
206308,2,1,1
206309,1,0,1
206310,1,0,1
206311,1,0,0
206312,1,1,1
206313,2,1,1
206315,2,1,1
206317,3,1,1
206318,3,1,1
206319,2,1,0
206323,3,1,1
206325,1,0,1
206327,2,0,0
206329,1,0,1
206330,4,1,0
206331,1,0,1
206332,2,1,0
206333,3,1,1
206334,1,0,1
206336,1,0,1
206339,2,0,1
206341,2,1,0
206346,2,1,0
206347,4,1,0
206351,2,1,0
206352,1,1,1
206353,2,1,1
206357,1,0,1
206358,1,1,0
206360,3,1,1
206361,1,1,1
206363,1,0,1
206364,1,1,1
206368,1,0,1
206369,2,1,0
208301,2,0,0
208302,2,1,0
208304,1,0,0
208305,3,1,1
208306,2,0,0
208307,3,0,0
208308,3,1,0
208310,5,0,0
208311,2,1,0
208312,5,0,0
208313,3,0,1
208314,2,0,0
208316,2,1,0
208317,1,0,1
208318,2,0,1
208319,2,1,0
208320,1,0,1
208323,1,0,1
208324,2,1,0
208327,2,0,1
208329,2,1,0
208331,5,0,1
208333,5,1,0
208334,2,0,1
208335,5,0,1
208336,2,0,0
208337,2,1,0
208338,2,1,0
208339,5,0,0
208340,4,0,0
208341,2,0,0
208342,1,0,1
208345,5,0,1
208346,4,1,0
208348,5,0,1
208349,3,1,1
208354,5,0,1
208356,4,1,0
208358,5,0,1
208361,2,1,0
209303,2,1,0
209306,5,0,1
209312,4,1,0
209315,3,1,1
209318,1,0,1
209321,3,0,0
209323,2,1,0
209327,1,0,1
209328,1,0,1
209331,5,1,0
209332,2,1,0
209339,1,0,0
209343,2,1,0
209344,1,1,1
209345,2,0,1
209346,3,0,0
209347,4,0,0
209350,5,1,0
209357,4,0,1
209364,1,1,1
210301,1,1,0
210304,1,0,1
210307,1,0,1
210309,4,0,0
210313,1,0,1
210322,1,0,1
210323,4,1,0
210325,1,1,1
210329,2,0,0
210333,1,0,1
210339,3,1,1
210346,1,1,1
210347,2,1,1
210354,1,1,1
210358,5,0,1
210360,3,1,1
210361,2,0,0
210367,2,1,0
210371,5,1,0
210378,2,0,1
210383,2,1,0
210397,1,1,1
210399,2,0,1
210400,1,0,1
210407,2,0,1
210408,5,0,1
211303,1,1,1
211309,1,0,1
211327,3,1,0
211336,4,0,0
211351,3,1,0
211354,2,0,0
211367,3,1,1
211368,2,0,1
211377,3,1,1
211380,2,0,0
211386,1,0,0
212302,1,1,1
212309,1,1,1
212314,5,1,1
212332,1,1,1
212336,5,1,0
212337,5,0,0
212345,1,1,1
212349,1,1,1
212352,1,0,1
212355,4,1,0
212366,1,1,1
212367,4,0,0
212373,1,0,1
214302,2,0,0
214304,4,1,0
214316,1,1,0
214317,2,1,0
214327,3,1,0
214329,2,1,1
214337,2,1,0
214359,2,1,0
214363,2,1,0
214367,1,1,1
214370,1,1,0
214371,4,1,0
214387,1,1,0
214389,3,1,0
214392,2,1,0
214399,1,0,0
214401,1,1,0
214408,1,0,0
214418,1,0,1
214421,5,0,1
214432,1,1,1
214434,1,0,0
214438,2,1,1
214443,3,1,0
214448,2,1,0
214457,4,1,0
214460,1,0,1
214477,5,0,1
214479,3,1,0
214485,1,0,0
214489,3,1,0
214493,4,0,0
214808,2,1,0
214810,2,1,0
214818,2,1,0
214838,2,1,0
214885,1,1,0
214887,1,0,1
215302,4,1,0
215303,2,0,0
215306,5,0,1
215309,2,1,0
215312,2,1,0
215314,5,1,0
215315,1,1,0
215320,1,1,0
215321,4,0,0
215323,2,1,0
215324,5,1,0
215325,5,1,1
215326,1,0,0
215329,2,1,0
215332,5,0,1
215335,2,0,0
215336,2,1,0
215337,3,0,1
215338,3,0,0
215342,4,1,0
215343,3,0,1
215348,2,0,0
215349,2,1,0
215351,2,0,1
215352,5,1,1
215353,3,0,0
215354,2,0,0
215355,2,1,0
215357,1,0,0
215358,5,1,0
215362,3,0,0
215364,3,0,1
215367,5,0,0
215369,2,0,0
215376,1,1,0
215377,1,1,0
215380,1,0,0
215381,2,0,0
215382,1,0,0
215383,4,0,0
215384,5,1,0
215385,3,0,0
215386,5,1,0
215387,2,0,0
215393,1,1,0
215398,2,1,0
215399,1,0,0
216304,1,1,0
216316,5,1,0
216321,4,0,0
216323,2,1,0
216327,2,1,0
216329,2,0,0
216337,3,0,0
216338,2,0,0
216348,2,1,0
216354,2,1,0
216358,2,0,0
216359,4,0,0
216362,2,0,0
216364,5,0,0
216368,2,0,1
216376,5,0,1
216378,3,1,0
216381,1,0,0
216384,1,1,0
216385,3,0,1
216386,1,0,0
216388,1,1,0
216391,2,1,0
216397,1,0,0
216398,2,0,0
216400,1,0,0
216401,1,1,0
216406,2,0,1
216410,2,0,0
216413,4,1,0
216415,3,0,0
216417,3,1,0
216427,1,1,0
216429,5,0,0
217302,3,0,0
217303,2,1,0
217304,3,1,0
217305,5,0,1
217306,5,1,1
217307,1,0,1
217308,4,1,0
217309,2,1,0
217312,2,0,1
217315,4,1,0
217316,1,1,1
217317,1,0,1
217319,3,1,1
217321,3,1,0
217322,2,1,0
217323,2,1,0
217324,3,0,0
217325,2,0,0
217326,3,1,1
217328,5,0,0
217329,1,1,1
217330,2,0,1
217332,1,0,1
217333,2,1,0
217334,5,0,1
217335,3,0,1
217336,2,1,0
217339,5,1,1
217342,1,0,0
217343,3,0,1
217344,4,0,0
217345,3,1,0
217347,3,1,1
217352,3,0,1
217355,3,0,1
217357,1,0,1
217359,1,1,1
217360,1,1,0
217361,1,1,0
217363,1,1,1
217365,3,1,0
217366,1,1,1
217367,3,0,0
217386,2,1,0
217390,2,1,0
218302,1,1,0
218303,3,0,1
218304,3,0,1
218305,3,1,1
218307,3,1,1
218309,3,0,1
218310,2,1,0
218311,1,0,0
218312,3,1,0
218314,3,1,1
218315,3,0,1
218317,1,1,1
218318,4,1,0
218320,2,1,0
218322,4,1,0
218323,2,1,0
218324,2,0,0
218325,1,1,0
218326,5,0,1
218327,2,0,0
218329,2,1,0
218330,2,1,0
218331,3,0,1
218332,5,0,1
218333,3,0,0
218335,4,1,0
218336,3,0,1
218337,4,0,0
218339,3,0,0
218340,3,0,1
218342,1,1,0
218343,2,1,0
218344,2,1,0
218346,1,1,0
218347,2,0,0
218349,3,0,1
218350,1,1,0
218351,1,1,0
218352,2,1,0
218353,1,0,0
218354,2,1,0
218355,2,1,0
218356,5,0,1
218358,1,0,1
218359,2,1,1
218360,5,0,1
218361,1,1,0
218362,2,1,0
218363,1,1,0
218364,5,0,1
218365,5,0,1
218366,2,0,0
219301,3,0,0
219302,4,1,0
219303,3,1,1
219304,4,0,0
219305,1,0,0
219306,4,1,0
219308,2,1,0
219309,4,1,0
219312,4,0,0
219314,2,1,0
219315,3,1,1
219316,5,0,1
219319,4,0,0
219320,3,1,0
219321,5,0,1
219323,4,1,0
219324,5,1,1
219325,5,0,0
219326,3,0,0
219327,1,1,0
219328,3,0,0
219332,3,1,0
219333,3,0,1
219334,2,1,0
219336,3,1,0
219337,3,0,1
219338,5,0,1
219339,5,0,1
219340,5,0,1
219341,2,0,0
219343,4,1,0
219344,4,1,0
219345,5,1,0
219346,2,0,0
219347,3,1,1
219348,5,1,0
219350,3,1,0
219351,5,1,1
219352,2,1,0
219353,5,0,1
219355,2,0,0
219356,3,1,1
219357,5,0,1
219358,3,0,1
219359,3,0,1
219364,2,1,0
219365,1,0,0
219367,5,1,0
219368,5,0,1
219369,3,0,1
219370,3,1,0
220301,1,0,1
220302,1,1,0
220303,3,0,1
220305,1,1,1
220306,3,1,1
220307,1,1,1
220308,3,1,0
220309,4,1,0
220310,1,0,0
220311,1,0,0
220312,1,0,0
220314,2,0,0
220316,1,1,0
220317,2,1,0
220318,3,1,0
220320,2,1,0
220321,3,0,1
220325,1,1,1
220326,2,0,1
220327,4,1,0
220328,2,0,0
220329,1,0,0
220331,2,0,1
220335,5,0,1
220336,1,1,0
220338,2,0,0
220341,2,1,0
220342,1,1,0
220344,3,1,1
220345,4,0,0
220347,1,0,1
220348,2,0,0
220349,1,1,0
220350,4,0,0
220351,2,0,0
220352,2,0,0
220353,5,1,0
220355,1,1,0
220357,2,0,0
220360,3,1,0
220366,2,1,0
220369,3,0,1
221302,2,1,1
221304,2,1,1
221305,2,0,1
221308,1,0,1
221311,3,0,0
221312,2,1,1
221313,1,1,1
221314,1,0,1
221315,1,1,1
221316,1,1,1
221318,4,0,0
221320,1,1,1
221321,5,1,1
221324,1,0,1
221327,3,0,0
221329,1,1,1
221330,3,0,0
221331,2,1,1
221333,3,1,0
221335,4,1,0
221336,1,0,1
221338,3,1,0
221339,2,0,1
221343,2,1,1
221345,1,0,1
221348,1,0,1
221350,3,1,0
221352,3,0,0
221354,3,0,1
221355,3,0,0
221356,3,1,0
221357,1,1,1
221362,2,0,1
221368,5,0,1
222302,5,0,1
222309,2,1,0
222311,3,1,1
222313,5,1,1
