"ID","LASTPD","FEMALE","CENSOR","ONE","HS11","HS12","COLL1","COLL2","COLL3","FHS11","FHS12","FCOLL1","FCOLL2","FCOLL3","PERIOD","EVENT","LTIME","FLTIME"
201303,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201303,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
201304,3,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201304,3,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
201304,3,1,0,1,0,0,1,0,0,0,0,1,0,0,3,1,2,2
201305,2,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201305,2,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
201311,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201311,5,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
201311,5,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
201311,5,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0
201311,5,0,1,1,0,0,0,0,1,0,0,0,0,0,5,0,4,0
201316,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201316,5,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
201316,5,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
201316,5,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0
201316,5,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,4,0
201317,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201317,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
201317,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
201320,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201321,5,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201321,5,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
201321,5,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
201321,5,1,0,1,0,0,0,1,0,0,0,0,1,0,4,0,3,3
201321,5,1,0,1,0,0,0,0,1,0,0,0,0,1,5,1,4,4
201322,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201322,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
201324,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201324,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
201324,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
201327,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201327,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
201327,3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,2,0
201328,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201328,3,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
201328,3,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
201334,2,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201334,2,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
201339,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201339,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
201340,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201340,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
201340,3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,2,0
201341,5,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201341,5,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
201341,5,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
201341,5,1,0,1,0,0,0,1,0,0,0,0,1,0,4,0,3,3
201341,5,1,0,1,0,0,0,0,1,0,0,0,0,1,5,1,4,4
201344,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201346,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201346,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
201346,3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,2,0
201347,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201347,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
201349,2,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201349,2,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
201350,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201350,3,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
201350,3,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
201351,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201351,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
201351,3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,2,0
201352,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
201353,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201353,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
201353,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
201356,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201356,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
201359,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201359,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0
201360,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201360,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
201360,3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,2,0
201361,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201364,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201364,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
201364,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
201367,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201367,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0
201374,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201374,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
201379,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
201379,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
203349,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
203350,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
203350,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
203350,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
203359,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
203359,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
204301,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
204302,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204302,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
204304,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204304,5,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204304,5,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204304,5,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0
204304,5,0,1,1,0,0,0,0,1,0,0,0,0,0,5,0,4,0
204305,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204305,2,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204307,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204307,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204307,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204308,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204308,5,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204308,5,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204308,5,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0
204308,5,0,1,1,0,0,0,0,1,0,0,0,0,0,5,0,4,0
204310,3,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204310,3,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204310,3,1,0,1,0,0,1,0,0,0,0,1,0,0,3,1,2,2
204311,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
204312,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204312,3,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204312,3,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204313,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
204314,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204314,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0
204315,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204315,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0
204316,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204316,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0
204318,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
204319,2,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204319,2,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204320,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204320,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204320,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204322,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204322,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0
204323,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204323,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204323,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204324,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204324,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204324,4,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204324,4,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,3,0
204325,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204325,3,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204325,3,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204327,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204327,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
204330,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204331,4,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204331,4,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204331,4,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204331,4,1,0,1,0,0,0,1,0,0,0,0,1,0,4,1,3,3
204332,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
204333,4,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204333,4,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204333,4,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204333,4,1,0,1,0,0,0,1,0,0,0,0,1,0,4,1,3,3
204336,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204336,5,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204336,5,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204336,5,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0
204336,5,0,1,1,0,0,0,0,1,0,0,0,0,0,5,0,4,0
204337,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204337,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204337,4,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204337,4,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,3,0
204338,3,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204338,3,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204338,3,1,0,1,0,0,1,0,0,0,0,1,0,0,3,1,2,2
204339,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204339,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0
204342,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204342,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
204343,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204343,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204343,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204345,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204345,3,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204345,3,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204347,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204349,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204349,5,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204349,5,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204349,5,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0
204349,5,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,4,0
204350,5,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204350,5,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204350,5,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204350,5,1,1,1,0,0,0,1,0,0,0,0,1,0,4,0,3,3
204350,5,1,1,1,0,0,0,0,1,0,0,0,0,1,5,0,4,4
204352,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204352,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
204353,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204353,3,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204353,3,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204354,4,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204354,4,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204354,4,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204354,4,1,1,1,0,0,0,1,0,0,0,0,1,0,4,0,3,3
204356,3,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204356,3,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204356,3,1,0,1,0,0,1,0,0,0,0,1,0,0,3,1,2,2
204358,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
204360,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204360,2,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1
204361,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204361,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204361,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204362,5,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204362,5,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204362,5,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204362,5,1,0,1,0,0,0,1,0,0,0,0,1,0,4,0,3,3
204362,5,1,0,1,0,0,0,0,1,0,0,0,0,1,5,1,4,4
204363,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204363,5,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204363,5,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204363,5,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0
204363,5,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,4,0
204364,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204364,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204364,4,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204364,4,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,3,0
204367,3,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204367,3,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204367,3,1,0,1,0,0,1,0,0,0,0,1,0,0,3,1,2,2
204368,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204368,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0
204369,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204369,5,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204369,5,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204369,5,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0
204369,5,0,1,1,0,0,0,0,1,0,0,0,0,0,5,0,4,0
204370,3,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204370,3,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204370,3,1,0,1,0,0,1,0,0,0,0,1,0,0,3,1,2,2
204371,3,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204371,3,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204371,3,1,0,1,0,0,1,0,0,0,0,1,0,0,3,1,2,2
204373,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
204373,3,1,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1
204373,3,1,1,1,0,0,1,0,0,0,0,1,0,0,3,0,2,2
204374,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204374,5,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
204374,5,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0
204374,5,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0
