"id","time","opp","cog","ccog","wave"
1,0,205,137,23.5429,1
1,1,217,137,23.5429,2
1,2,268,137,23.5429,3
1,3,302,137,23.5429,4
2,0,219,123,9.5429,1
2,1,243,123,9.5429,2
2,2,279,123,9.5429,3
2,3,302,123,9.5429,4
3,0,142,129,15.5429,1
3,1,212,129,15.5429,2
3,2,250,129,15.5429,3
3,3,289,129,15.5429,4
4,0,206,125,11.5429,1
4,1,230,125,11.5429,2
4,2,248,125,11.5429,3
4,3,273,125,11.5429,4
5,0,190,81,-32.4571,1
5,1,220,81,-32.4571,2
5,2,229,81,-32.4571,3
5,3,220,81,-32.4571,4
6,0,165,110,-3.4571,1
6,1,205,110,-3.4571,2
6,2,207,110,-3.4571,3
6,3,263,110,-3.4571,4
7,0,170,99,-14.4571,1
7,1,182,99,-14.4571,2
7,2,214,99,-14.4571,3
7,3,268,99,-14.4571,4
8,0,96,113,-0.457099999999997,1
8,1,131,113,-0.457099999999997,2
8,2,159,113,-0.457099999999997,3
8,3,213,113,-0.457099999999997,4
9,0,138,104,-9.4571,1
9,1,156,104,-9.4571,2
9,2,197,104,-9.4571,3
9,3,200,104,-9.4571,4
10,0,216,96,-17.4571,1
10,1,252,96,-17.4571,2
10,2,274,96,-17.4571,3
10,3,298,96,-17.4571,4
11,0,180,125,11.5429,1
11,1,225,125,11.5429,2
11,2,215,125,11.5429,3
11,3,249,125,11.5429,4
12,0,97,115,1.54290000000000,1
12,1,136,115,1.54290000000000,2
12,2,168,115,1.54290000000000,3
12,3,222,115,1.54290000000000,4
13,0,145,109,-4.4571,1
13,1,161,109,-4.4571,2
13,2,151,109,-4.4571,3
13,3,177,109,-4.4571,4
14,0,195,95,-18.4571,1
14,1,184,95,-18.4571,2
14,2,209,95,-18.4571,3
14,3,213,95,-18.4571,4
15,0,162,118,4.5429,1
15,1,138,118,4.5429,2
15,2,204,118,4.5429,3
15,3,195,118,4.5429,4
16,0,119,120,6.5429,1
16,1,148,120,6.5429,2
16,2,164,120,6.5429,3
16,3,208,120,6.5429,4
17,0,144,118,4.5429,1
17,1,166,118,4.5429,2
17,2,236,118,4.5429,3
17,3,261,118,4.5429,4
18,0,107,115,1.54290000000000,1
18,1,165,115,1.54290000000000,2
18,2,193,115,1.54290000000000,3
18,3,262,115,1.54290000000000,4
19,0,167,120,6.5429,1
19,1,201,120,6.5429,2
19,2,233,120,6.5429,3
19,3,216,120,6.5429,4
20,0,156,118,4.5429,1
20,1,156,118,4.5429,2
20,2,197,118,4.5429,3
20,3,246,118,4.5429,4
21,0,165,126,12.5429,1
21,1,228,126,12.5429,2
21,2,279,126,12.5429,3
21,3,290,126,12.5429,4
22,0,197,121,7.5429,1
22,1,181,121,7.5429,2
22,2,185,121,7.5429,3
22,3,217,121,7.5429,4
23,0,206,108,-5.4571,1
23,1,209,108,-5.4571,2
23,2,230,108,-5.4571,3
23,3,255,108,-5.4571,4
24,0,182,104,-9.4571,1
24,1,196,104,-9.4571,2
24,2,217,104,-9.4571,3
24,3,199,104,-9.4571,4
25,0,174,118,4.5429,1
25,1,198,118,4.5429,2
25,2,229,118,4.5429,3
25,3,236,118,4.5429,4
26,0,199,104,-9.4571,1
26,1,238,104,-9.4571,2
26,2,253,104,-9.4571,3
26,3,282,104,-9.4571,4
27,0,160,124,10.5429,1
27,1,178,124,10.5429,2
27,2,189,124,10.5429,3
27,3,229,124,10.5429,4
28,0,184,130,16.5429,1
28,1,231,130,16.5429,2
28,2,260,130,16.5429,3
28,3,292,130,16.5429,4
29,0,174,87,-26.4571,1
29,1,194,87,-26.4571,2
29,2,189,87,-26.4571,3
29,3,188,87,-26.4571,4
30,0,215,131,17.5429,1
30,1,226,131,17.5429,2
30,2,257,131,17.5429,3
30,3,310,131,17.5429,4
31,0,147,109,-4.4571,1
31,1,188,109,-4.4571,2
31,2,197,109,-4.4571,3
31,3,232,109,-4.4571,4
32,0,127,115,1.54290000000000,1
32,1,172,115,1.54290000000000,2
32,2,222,115,1.54290000000000,3
32,3,273,115,1.54290000000000,4
33,0,165,104,-9.4571,1
33,1,217,104,-9.4571,2
33,2,230,104,-9.4571,3
33,3,286,104,-9.4571,4
34,0,76,110,-3.4571,1
34,1,139,110,-3.4571,2
34,2,150,110,-3.4571,3
34,3,214,110,-3.4571,4
35,0,166,110,-3.4571,1
35,1,197,110,-3.4571,2
35,2,203,110,-3.4571,3
35,3,233,110,-3.4571,4
