"id","t","censor"
1,1,0
2,2,0
3,1,0
4,1,0
5,12,1
6,1,0
7,12,1
8,1,0
9,2,0
10,2,0
12,7,0
13,12,1
14,1,0
15,12,1
16,12,1
17,2,0
18,12,1
19,1,0
20,3,0
21,2,0
22,12,1
23,12,1
24,9,0
25,12,1
26,2,0
27,3,0
28,1,0
29,2,0
30,2,0
31,4,0
32,3,0
33,12,1
34,1,0
35,5,0
36,12,1
37,6,0
38,1,0
39,3,0
40,12,1
41,6,0
42,12,1
43,8,0
44,12,1
45,12,1
46,12,1
47,2,0
48,2,0
49,12,1
50,12,1
51,2,0
52,2,0
53,2,0
54,12,1
55,3,0
56,1,0
57,3,0
58,3,0
59,12,1
60,1,0
61,1,0
62,9,0
63,2,0
64,10,0
65,12,1
66,5,0
67,12,1
68,12,1
69,1,0
70,3,0
71,2,0
72,1,0
73,12,1
74,2,0
75,12,1
76,5,0
77,3,0
78,1,0
79,3,0
80,9,0
81,2,0
82,12,1
83,1,0
84,12,1
85,5,0
86,2,0
87,12,1
88,1,0
89,1,0
90,12,1
91,4,0
92,1,0
93,2,0
94,6,0
95,9,0
96,12,1
97,12,1
98,12,1
99,1,0
100,7,0
101,12,1
102,7,0
103,12,1
104,1,0
105,4,0
106,2,0
107,5,0
108,2,0
109,3,0
110,9,0
111,6,0
112,1,0
113,12,1
114,12,1
115,12,1
116,5,0
117,1,0
118,3,0
119,9,0
120,2,0
121,4,0
122,6,0
123,7,0
124,3,0
125,12,1
126,12,0
127,5,0
128,3,0
129,12,1
130,12,1
131,1,0
132,12,1
133,6,0
134,12,1
135,4,0
136,1,0
137,12,1
138,12,1
139,12,1
140,6,0
141,12,1
142,1,0
143,12,1
144,4,0
145,5,0
146,12,1
147,2,0
148,12,1
149,12,1
150,12,0
151,3,0
152,6,0
153,12,1
154,4,0
155,2,0
156,4,0
157,1,0
158,12,1
159,2,0
160,12,1
161,12,1
162,12,1
163,12,1
164,12,1
165,12,1
166,12,1
167,1,0
168,1,0
169,12,1
170,12,1
171,8,0
172,11,0
173,12,1
174,8,0
175,9,0
176,12,1
177,7,0
178,12,1
179,1,0
180,3,0
181,1,0
182,12,1
183,1,0
184,12,1
185,4,0
186,12,1
187,4,0
188,1,0
189,12,1
190,3,0
191,1,0
192,3,0
193,2,0
194,6,0
195,12,1
196,12,1
197,1,0
198,1,0
199,1,0
200,3,0
201,10,0
202,3,0
203,12,1
204,12,1
205,5,0
206,3,0
207,12,1
208,3,0
209,4,0
210,12,1
211,4,0
212,12,1
214,11,0
215,1,0
216,12,1
217,12,1
218,12,1
219,12,1
220,8,0
221,2,0
222,12,1
223,8,0
224,12,1
225,12,1
226,4,0
227,1,0
228,5,0
229,5,0
230,12,1
231,12,1
232,8,0
233,3,0
234,12,1
235,12,1
236,12,1
237,10,0
238,1,0
239,12,1
240,12,1
241,5,0
242,5,0
243,12,1
244,11,0
245,12,1
246,12,1
247,12,1
248,12,1
249,9,0
250,2,0
251,12,1
252,12,0
253,1,0
254,3,0
255,2,0
256,2,0
257,12,1
258,12,1
259,12,1
260,10,0
261,12,1
262,7,0
263,12,1
264,12,1
265,12,1
266,6,0
267,12,1
268,5,0
269,7,0
270,7,0
271,11,0
272,4,0
273,1,0
274,2,0
275,12,1
276,12,1
277,2,0
278,3,0
279,1,0
280,2,0
281,12,1
282,12,1
283,12,1
284,10,0
286,1,0
287,7,0
288,4,0
289,12,1
290,7,0
291,6,0
292,9,0
293,10,0
294,4,0
295,12,1
296,12,1
297,2,0
298,5,0
299,5,0
300,12,1
302,4,0
303,1,0
304,6,0
305,8,0
306,8,0
307,12,1
308,12,1
309,7,0
310,1,0
311,12,1
312,12,1
313,1,0
314,2,0
315,6,0
317,12,1
318,1,0
319,12,1
320,12,1
321,1,0
322,3,0
323,1,0
324,12,1
325,4,0
326,12,1
327,8,0
328,2,0
329,12,1
330,12,1
331,2,0
332,12,1
333,12,1
334,4,0
335,12,1
336,12,1
337,1,0
338,4,0
339,1,0
340,2,0
341,10,0
342,12,1
343,12,1
344,4,0
345,9,0
346,2,0
347,12,1
348,3,0
349,12,1
350,8,0
351,7,0
352,4,0
353,12,1
354,2,0
355,2,0
356,12,1
357,12,1
358,12,1
359,12,1
360,1,0
361,12,1
362,5,0
363,3,0
364,3,0
365,1,0
366,2,0
367,1,0
368,1,0
369,1,0
370,1,0
371,10,0
372,12,1
373,12,1
374,3,0
375,4,0
376,12,1
377,9,0
378,8,0
379,12,1
380,7,0
381,12,1
382,7,0
383,1,0
384,3,0
385,3,0
386,11,0
387,2,0
388,4,0
389,2,0
390,9,0
391,10,0
392,5,0
393,12,1
394,12,1
395,12,1
396,3,0
397,3,0
398,1,0
399,2,0
400,3,0
401,5,0
402,9,0
403,12,0
404,3,0
405,4,0
406,3,0
407,3,0
408,12,1
409,7,0
410,8,0
411,12,0
412,12,1
413,12,1
414,12,1
415,3,0
416,12,1
417,8,0
418,6,0
419,1,0
420,2,0
421,1,0
422,1,0
423,12,1
424,12,1
425,12,1
426,2,0
427,12,1
428,2,0
429,12,1
430,5,0
431,1,0
432,2,0
433,7,0
434,12,1
435,12,1
436,9,0
437,12,1
438,8,0
439,12,1
440,12,1
441,1,0
442,2,0
443,1,0
444,5,0
445,10,0
446,12,1
447,2,0
448,2,0
449,12,1
450,6,0
451,5,0
452,1,0
453,1,0
454,4,0
455,12,1
456,12,1
457,12,1
458,2,0
459,4,0
460,4,0
461,2,0
462,3,0
463,8,0
464,11,0
465,12,1
466,1,0
467,1,0
468,2,0
469,12,1
470,12,1
471,12,1
472,2,0
473,12,1
474,12,1
475,12,1
476,1,0
477,9,0
478,11,0
479,11,0
480,3,0
481,5,0
482,5,0
483,12,1
484,7,0
485,7,0
486,1,0
487,10,0
488,12,1
489,6,0
490,3,0
491,4,0
492,4,0
493,12,1
494,12,1
495,12,1
496,2,0
497,12,1
498,12,1
499,12,1
500,3,0
501,4,0
502,12,1
503,2,0
504,4,0
505,12,1
506,10,0
507,5,0
508,10,0
509,12,1
510,4,0
511,2,0
512,12,1
513,4,0
514,12,1
515,12,1
516,4,0
517,12,1
518,6,0
519,12,1
520,2,0
521,1,0
522,12,1
523,12,1
524,4,0
525,12,1
526,12,1
527,3,0
528,1,0
529,12,1
530,1,0
531,4,0
532,1,0
533,9,0
534,12,1
535,2,0
536,9,0
537,9,0
538,12,1
539,12,1
540,8,0
541,2,0
542,12,1
543,12,1
544,12,1
545,12,1
546,12,1
547,12,1
548,12,1
549,1,0
550,12,1
551,2,0
552,12,1
553,1,0
554,12,1
555,2,0
556,5,0
557,4,0
558,12,1
559,6,0
560,4,0
561,2,0
562,4,0
563,3,0
564,6,0
565,3,0
566,12,1
567,12,1
568,3,0
569,2,0
570,12,1
571,12,1
572,8,0
573,7,0
574,12,1
575,7,0
576,12,1
577,11,0
578,12,1
579,12,1
580,1,0
581,2,0
582,3,0
583,12,1
584,6,0
585,3,0
586,1,0
587,3,0
