"ID","TOL11","TOL12","TOL13","TOL14","TOL15","MALE","EXPOSURE"
9,2.23,1.79,1.9000000000000001,2.12,2.66,0,1.54
45,1.12,1.45,1.45,1.45,1.99,1,1.16
268,1.45,1.34,1.99,1.79,1.34,1,0.9
314,1.22,1.22,1.55,1.12,1.12,0,0.81
442,1.45,1.99,1.45,1.67,1.9000000000000001,0,1.1300000000000001
514,1.34,1.67,2.23,2.12,2.44,1,0.9
569,1.79,1.9000000000000001,1.9000000000000001,1.99,1.99,0,1.99
624,1.12,1.12,1.22,1.12,1.22,1,0.98
723,1.22,1.34,1.12,1,1.12,0,0.81
918,1,1,1.22,1.99,1.22,0,1.21
949,1.99,1.55,1.12,1.45,1.55,1,0.93
978,1.22,1.34,2.12,3.46,3.3200000000000003,1,1.59
1105,1.34,1.9000000000000001,1.99,1.9000000000000001,2.12,1,1.3800000000000001
1542,1.22,1.22,1.99,1.79,2.12,0,1.44
1653,1.11,1.11,1.34,1.55,2.12,0,1.25
