"id","tol11","tol12","tol13","tol14","tol15","male","exposure"
9,2.23,1.79,1.9,2.12,2.66,0,1.54
45,1.12,1.45,1.45,1.45,1.99,1,1.16
268,1.45,1.34,1.99,1.79,1.34,1,0.9
314,1.22,1.22,1.55,1.12,1.12,0,0.81
442,1.45,1.99,1.45,1.67,1.9,0,1.13
514,1.34,1.67,2.23,2.12,2.44,1,0.9
569,1.79,1.9,1.9,1.99,1.99,0,1.99
624,1.12,1.12,1.22,1.12,1.22,1,0.98
723,1.22,1.34,1.12,1,1.12,0,0.81
918,1,1,1.22,1.99,1.22,0,1.21
949,1.99,1.55,1.12,1.45,1.55,1,0.93
978,1.22,1.34,2.12,3.46,3.32,1,1.59
1105,1.34,1.9,1.99,1.9,2.12,1,1.38
1542,1.22,1.22,1.99,1.79,2.12,0,1.44
1552,1,1.12,2.23,1.55,1.55,0,1.04
1653,1.11,1.11,1.34,1.55,2.12,0,1.25
