"id","lnw","exper","ged","postexp","black","hispanic","hgc","hgc.9","uerate","ue.7","ue.centert1","ue.mean","ue.person.cen","ue1"
31,1.491,0.015,1,0.015,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215
31,1.433,0.715,1,0.715,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215
31,1.469,1.734,1,1.734,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215
31,1.749,2.773,1,2.773,0,1,8,-1,3.295,-3.705,0.08,3.215,0.08,3.215
31,1.931,3.927,1,3.927,0,1,8,-1,2.895,-4.105,-0.32,3.215,-0.32,3.215
31,1.709,4.946,1,4.946,0,1,8,-1,2.495,-4.505,-0.72,3.215,-0.72,3.215
31,2.086,5.965,1,5.965,0,1,8,-1,2.595,-4.405,-0.62,3.215,-0.62,3.215
31,2.129,6.984,1,6.984,0,1,8,-1,4.795,-2.205,1.58,3.215,1.58,3.215
36,1.982,0.315,1,0.315,0,0,9,0,4.895,-2.105,0,5.0965,-0.201500000000000,4.895
36,1.798,0.983,1,0.983,0,0,9,0,7.4,0.4,2.505,5.0965,2.3035,4.895
36,2.256,2.04,1,2.04,0,0,9,0,7.4,0.4,2.505,5.0965,2.3035,4.895
36,2.573,3.021,1,3.021,0,0,9,0,5.295,-1.705,0.4,5.0965,0.1985,4.895
36,1.819,4.021,1,4.021,0,0,9,0,4.495,-2.505,-0.399999999999999,5.0965,-0.6015,4.895
36,2.928,5.521,1,5.521,0,0,9,0,2.895,-4.105,-2,5.0965,-2.2015,4.895
36,2.443,6.733,1,6.733,0,0,9,0,2.595,-4.405,-2.3,5.0965,-2.5015,4.895
36,2.825,7.906,1,7.906,0,0,9,0,2.595,-4.405,-2.3,5.0965,-2.5015,4.895
36,2.303,8.848,1,8.848,0,0,9,0,5.795,-1.205,0.9,5.0965,0.6985,4.895
36,2.329,9.598,1,9.598,0,0,9,0,7.6,0.6,2.705,5.0965,2.5035,4.895
53,1.763,0.781,0,0,0,1,7,-2,5.595,-1.405,0,4.4325,1.1625,5.595
53,1.538,0.943,0,0,0,1,7,-2,6.695,-0.305,1.1,4.4325,2.2625,5.595
53,3.242,0.957,1,0,0,1,7,-2,4.895,-2.105,-0.7,4.4325,0.462499999999999,5.595
53,1.596,1.037,1,0.08,0,1,7,-2,4.995,-2.005,-0.6,4.4325,0.5625,5.595
53,1.566,1.057,1,0.1,0,1,7,-2,3.795,-3.205,-1.8,4.4325,-0.6375,5.595
53,1.882,1.11,1,0.152,0,1,7,-2,3.495,-3.505,-2.1,4.4325,-0.9375,5.595
53,1.89,1.185,1,0.227,0,1,7,-2,2.795,-4.205,-2.8,4.4325,-1.6375,5.595
53,1.66,1.777,1,0.82,0,1,7,-2,3.195,-3.805,-2.4,4.4325,-1.2375,5.595
122,2.115,2.038,0,0,0,0,12,3,8.4,1.4,0,5.296,3.104,8.4
122,2.921,2.638,0,0,0,0,12,3,8.1,1.1,-0.300000000000001,5.296,2.804,8.4
122,1.919,3.658,0,0,0,0,12,3,6.395,-0.605,-2.005,5.296,1.099,8.4
122,0.763,4.638,0,0,0,0,12,3,4.995,-2.005,-3.405,5.296,-0.301,8.4
122,2.443,5.831,0,0,0,0,12,3,4.095,-2.905,-4.305,5.296,-1.201,8.4
122,2.18,6.715,0,0,0,0,12,3,3.595,-3.405,-4.805,5.296,-1.701,8.4
122,2.138,8.158,0,0,0,0,12,3,2.795,-4.205,-5.605,5.296,-2.501,8.4
122,2.199,9.1,0,0,0,0,12,3,3.195,-3.805,-5.205,5.296,-2.101,8.4
122,2.337,10.35,0,0,0,0,12,3,5.195,-1.805,-3.205,5.296,-0.101,8.4
122,2.668,11.081,0,0,0,0,12,3,6.195,-0.805,-2.205,5.296,0.899,8.4
134,2.004,0.192,0,0,0,0,11,2,5.795,-1.205,0,5.72083333333333,0.0741666666666667,5.795
134,2.099,0.972,0,0,0,0,11,2,5.495,-1.505,-0.3,5.72083333333333,-0.225833333333333,5.795
134,2.323,1.934,0,0,0,0,11,2,6.095,-0.905,0.3,5.72083333333333,0.374166666666667,5.795
134,2.387,2.953,0,0,0,0,11,2,8.4,1.4,2.605,5.72083333333333,2.67916666666667,5.795
134,2.263,3.915,1,0,0,0,11,2,8.1,1.1,2.305,5.72083333333333,2.37916666666667,5.795
134,2.326,4.635,1,0.72,0,0,11,2,6.395,-0.605,0.6,5.72083333333333,0.674166666666666,5.795
134,2.298,5.635,1,1.72,0,0,11,2,5.895,-1.105,0.0999999999999996,5.72083333333333,0.174166666666666,5.795
134,2.666,6.75,1,2.835,0,0,11,2,5.095,-1.905,-0.7,5.72083333333333,-0.625833333333333,5.795
134,2.806,8.25,1,4.335,0,0,11,2,2.795,-4.205,-3,5.72083333333333,-2.92583333333333,5.795
134,2.927,9.019,1,5.105,0,0,11,2,3.195,-3.805,-2.6,5.72083333333333,-2.52583333333333,5.795
134,2.931,10.038,1,6.124,0,0,11,2,5.195,-1.805,-0.6,5.72083333333333,-0.525833333333333,5.795
