"id","lnw","exper","black","hcg.9"
206,2.028,1.874,0,1
206,2.297,2.814,0,1
206,2.482,4.314,0,1
266,1.808,0.322,0,0
304,1.842,0.58,0,-1
329,1.422,0.016,0,-1
329,1.308,0.716,0,-1
329,1.885,1.756,0,-1
336,1.892,1.91,1,-1
336,1.279,2.514,1,-1
336,2.224,3.706,1,-1
394,2.383,1.89,1,1
394,1.929,2.77,1,1
394,1.609,3.01,1,1
518,1.272,0.525,1,-1
518,1.613,1.926,1,-1
541,1.914,1.24,0,1
541,2.195,2.432,0,1
541,2.086,3.432,0,1
832,1.845,1.875,1,1
832,1.447,4.355,1,1
832,1.43,4.77,1,1
911,2.512,1.669,1,2
1032,1.65,0.808,1,-1
1219,1.568,1.5,1,0
1282,2.224,0.292,0,2
1431,2.255,0.34,0,2
1431,2.451,0.99,0,2
1431,2.155,2.49,0,2
1542,1.81,0.173,0,1
1679,1.943,0.365,0,1
1687,1.663,0.688,1,1
1687,1.261,0.825,1,1
2059,1.609,0.78,0,2
2059,1.609,1.934,0,2
2059,1.414,2.424,0,2
2065,2.599,1.5,0,2
2178,1.515,0.923,0,-1
2178,1.749,1.962,0,-1
2261,2.252,0.005,0,-3
2266,1.51,1.077,1,-2
2266,1.169,2.058,1,-2
2266,1.278,2.953,1,-2
2380,1.048,3.7,0,1
2380,2.23,4.834,0,1
2380,1.926,5.467,0,1
2456,0.898,4,0,2
2456,1.217,5,0,2
2612,1.418,0.875,0,-1
2612,1.566,1.135,0,-1
2890,1.881,0.868,0,-1
2890,2.024,2.945,0,-1
3087,2.13,1.5,0,2
3087,2.358,2.423,0,2
3087,2.815,2.671,0,2
3088,3.14,1.5,0,-2
3088,2.853,2.462,0,-2
3284,2.113,5.045,0,0
3284,2.338,6.006,0,0
3644,1.532,0.057,0,2
3644,2.621,0.282,0,2
3731,2.04,4.465,0,-1
3881,1.789,2.428,0,0
3881,1.462,3.888,0,0
3941,1.566,0.36,1,-1
3941,1.526,1.591,1,-1
3941,2.113,2.706,1,-1
4044,1.99,3.215,0,-1
4044,1.858,4.465,0,-1
4044,2.13,5.369,0,-1
4172,1.854,2.335,0,1
4172,0.802,2.74,0,1
4266,2.058,1.5,0,0
4266,2.227,2.481,0,0
4266,2.068,3.981,0,0
4385,0.708,1.536,0,-1
4385,1.47,2.632,0,-1
4385,1.618,3.177,0,-1
4421,2.219,5.467,0,0
4421,2.328,7.057,0,0
4446,1.877,1.52,0,0
4446,1.875,2.34,0,0
4446,2.024,3.328,0,0
4492,2.239,1.543,0,-1
4619,1.381,1.271,0,1
4619,1.972,1.836,0,1
4620,1.447,0.1,0,-1
4620,1.464,0.37,0,-1
4654,2.126,3.29,0,0
4654,1.729,4.07,0,0
4654,2.066,5.48,0,0
4799,1.933,0.002,0,2
4799,2.027,0.799,0,2
4799,1.351,1.199,0,2
5058,1.68,1.212,0,0
5058,1.668,2.712,0,0
5423,1.455,0.957,0,1
5423,1.949,1.809,0,1
5562,2.224,1.5,0,2
5562,2.633,2.558,0,2
5791,1.664,0.435,0,0
5791,1.379,0.675,0,0
5791,1.464,1.139,0,0
5894,1.749,0.43,1,0
5894,2.008,1.449,1,0
5894,2.248,2.392,1,0
5901,1.538,0.236,1,-1
5901,2.334,0.316,1,-1
5901,2.283,0.556,1,-1
5908,1.71,0.26,1,1
5968,1.455,0.18,1,-1
5968,1.418,0.64,1,-1
6097,1.856,0.986,1,2
6097,1.504,1.241,1,2
6097,1.57,1.289,1,2
6099,1.568,0.21,1,1
6099,1.846,0.53,1,1
6099,1.57,2.453,1,1
6127,1.997,0.9,1,2
6127,2.715,1.356,1,2
6127,2.801,1.896,1,2
6144,1.686,0.205,1,-2
6144,1.839,0.605,1,-2
6144,2.012,1.125,1,-2
6148,1.461,1.5,1,1
6148,2.066,3,1,1
6149,1.931,1.368,1,-3
6319,1.71,0.545,1,0
6319,1.381,1.02,1,0
6398,1.789,0.22,1,-1
6432,1.461,0.2,1,2
6451,1.813,1.466,1,1
6458,1.449,0.068,1,0
6507,2.086,0.303,1,-2
6778,2.497,0.263,0,1
6778,2.377,2.416,0,1
6778,2.086,2.506,0,1
6784,2.403,0.59,0,0
6784,1.535,1.259,0,0
6792,2.093,1.421,0,3
6794,1.526,0.332,0,-1
6794,2.238,1.563,0,-1
6796,1.946,0.712,0,2
6796,1.902,1.612,0,2
6846,1.264,0.67,1,1
6926,1.471,0.676,0,-1
7027,1.335,1.827,0,2
7109,1.84,0.612,0,0
7109,2.042,1.637,0,0
7110,1.596,0.32,0,-2
7110,1.349,0.46,0,-2
7110,1.947,0.505,0,-2
7113,0.975,0.04,1,0
7113,1.389,0.045,1,0
7113,1.526,0.271,1,0
7117,1.461,0.14,1,0
7141,1.668,0.361,1,1
7141,1.034,1.453,1,1
7141,1.289,1.661,1,1
7142,4.229,0.189,1,0
7188,1.596,0.22,1,-1
7188,1.558,1.54,1,-1
7188,1.709,2.328,1,-1
7257,1.618,0.212,1,0
7257,1.712,1.002,1,0
7257,1.659,1.122,1,0
7311,2.115,1.167,0,-1
7349,1.307,2.665,0,-2
7349,1.26,3.781,0,-2
7349,1.335,4.693,0,-2
7363,1.423,0.36,0,-1
7363,0.765,0.46,0,-1
7363,1.89,0.955,0,-1
7567,1.412,0.795,1,-1
7567,1.096,1.91,1,-1
7780,2.737,4.198,0,-1
7780,2.297,5.064,0,-1
7816,1.491,0.134,1,0
7816,2.042,0.154,1,0
7816,1.464,0.641,1,0
7918,2.52,0.366,0,0
7918,1.568,0.466,0,0
7918,1.484,0.586,0,0
8185,1.452,1.629,1,2
8185,1.707,1.739,1,2
8185,1.782,2.72,1,2
8293,2.356,0.48,1,3
8293,2.012,0.94,1,3
8300,2.529,5.637,0,3
8300,2.516,6.537,0,3
8300,2.49,7.768,0,3
